"speaker_id","name"
1,"George Washington"
2,"John Adams"
3,"Thomas Jefferson"
4,"James Madison"
5,"James Monroe"
6,"John Quincy Adams"
7,"Andrew Jackson"
8,"Martin Van Buren"
9,"William Harrison"
10,"John Tyler"
11,"James K. Polk"
12,"Zachary Taylor"
13,"Millard Fillmore"
14,"Abraham Lincoln"
15,"Franklin Pierce"
16,"James Buchanan"
17,"Andrew Johnson"
18,"Ulysses S. Grant"
19,"Rutherford B. Hayes"
20,"James A. Garfield"
21,"Chester A. Arthur"
22,"Grover Cleveland"
23,"Benjamin Harrison"
24,"William McKinley"
25,"Theodore Roosevelt"
26,"William Taft"
27,"Woodrow Wilson"
28,"Warren G. Harding"
29,"Calvin Coolidge"
30,"Herbert Hoover"
31,"Franklin D. Roosevelt"
32,"Harry S. Truman"
33,"Richard Nixon"
34,"Dwight D. Eisenhower"
35,"John F. Kennedy"
36,"Lyndon B. Johnson"
37,"Ronald Reagan"
38,"Gerald Ford"
39,"Jimmy Carter"
40,"George H. W. Bush"
41,"Bill Clinton"
42,"George W. Bush"
43,"Barack Obama"
44,"Donald Trump"