"term_id","start_date","end_date"
1,"1789-04-30","1793-03-04"
2,"1793-03-04","1797-03-04"
3,"1797-03-04","1801-03-04"
4,"1801-03-04","1805-03-04"
5,"1805-03-04","1809-03-04"
6,"1809-03-04","1813-03-04"
7,"1813-03-04","1817-03-04"
8,"1817-03-04","1821-03-05"
9,"1821-03-05","1825-03-04"
10,"1825-03-04","1829-03-04"
11,"1829-03-04","1833-03-04"
12,"1833-03-04","1837-03-04"
13,"1837-03-04","1841-03-04"
14,"1841-03-04","1841-04-06"
15,"1841-04-06","1845-03-04"
16,"1845-03-04","1849-03-05"
17,"1849-03-05","1850-07-10"
18,"1850-07-10","1853-03-04"
19,"1853-03-04","1857-03-04"
20,"1857-03-04","1861-03-04"
21,"1861-03-04","1865-03-04"
22,"1865-03-04","1865-04-15"
23,"1865-04-15","1869-03-04"
24,"1869-03-04","1873-03-04"
25,"1873-03-04","1877-03-05"
26,"1877-03-05","1881-03-04"
27,"1881-03-04","1881-09-20"
28,"1881-09-20","1885-03-04"
29,"1885-03-04","1889-03-04"
30,"1889-03-04","1893-03-04"
31,"1893-03-04","1897-03-04"
32,"1897-03-04","1901-03-04"
33,"1901-03-04","1901-09-14"
34,"1901-09-14","1905-03-04"
35,"1905-03-04","1909-03-04"
36,"1909-03-04","1913-03-04"
37,"1913-03-04","1917-03-05"
38,"1917-03-05","1921-03-04"
39,"1921-03-04","1923-08-03"
40,"1923-08-03","1925-03-04"
41,"1925-03-04","1929-03-04"
42,"1929-03-04","1933-03-04"
43,"1933-03-04","1937-01-20"
44,"1937-01-20","1941-01-20"
45,"1941-01-20","1945-01-20"
46,"1945-01-20","1945-04-12"
47,"1945-04-12","1949-01-20"
48,"1949-01-20","1953-01-20"
49,"1953-01-20","1957-01-21"
50,"1957-01-21","1961-01-20"
51,"1961-01-20","1963-11-22"
52,"1963-11-22","1965-01-20"
53,"1965-01-20","1969-01-20"
54,"1969-01-20","1973-01-20"
55,"1973-01-20","1974-08-09"
56,"1974-08-09","1977-01-20"
57,"1977-01-20","1981-01-20"
58,"1981-01-20","1985-01-21"
59,"1985-01-21","1989-01-20"
60,"1989-01-20","1993-01-20"
61,"1993-01-20","1997-01-20"
62,"1997-01-20","2001-01-20"
63,"2001-01-20","2005-01-20"
64,"2005-01-20","2009-01-20"
65,"2009-01-20","2013-01-21"
66,"2013-01-21","2017-01-20"
67,"2017-01-20","2021-01-20"